Scope L1,Scope L2,Level 1,Level 2,Level 3,Level 4,Level 5,Factor Source,Column Text,Description,UOM,kg CO2e,kg CO2e of CO2,kg CO2e of CH4,kg CO2e of N2O,kWh (Net CV),kWh (net)
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All artics,,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,1.0562,103.015,2,2.585,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All artics,,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,1.0787,106.251,13,1.606,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All artics,,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,1.736,170.995,2,2.585,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All artics,,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,8.675,85.131,13,1.606,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All artics,,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,1.3961,137.005,2,2.585,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All artics,,Average laden,GHG Conversion Factor 2022,Average laden,,km,92.391,90.772,13,1.606,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All artics,,Average laden,GHG Conversion Factor 2022,Average laden,,miles,148.688,146.083,2,2.585,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All HGVs,,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,67.032,65.674,14,1.344,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All HGVs,,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,107.877,105.692,23,2.162,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All HGVs,,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,102.944,101.586,14,1.344,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All HGVs,,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,165.671,163.486,23,2.162,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All HGVs,,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,84.988,8.363,14,1.344,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All HGVs,,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,136.774,134.589,23,2.162,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All HGVs,,Average laden,GHG Conversion Factor 2022,Average laden,,km,89.061,87.703,14,1.344,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All HGVs,,Average laden,GHG Conversion Factor 2022,Average laden,,miles,143.329,141.144,23,2.162,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All rigids,,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,69.215,68.199,17,999,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All rigids,,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,111.389,109.755,27,1.607,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All rigids,,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,95.522,94.506,17,999,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All rigids,,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,153.726,152.092,27,1.607,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All rigids,,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,82.368,81.352,17,999,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All rigids,,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,132.557,130.923,27,1.607,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All rigids,,Average laden,GHG Conversion Factor 2022,Average laden,,km,84.061,83.045,17,999,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All rigids,,Average laden,GHG Conversion Factor 2022,Average laden,,miles,135.282,133.648,27,1.607,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>3.5 - 33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,64.531,63.161,11,1.359,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>3.5 - 33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,103.851,101.648,17,2.186,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>3.5 - 33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,96.112,94.742,11,1.359,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>3.5 - 33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,154.675,152.472,17,2.186,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>3.5 - 33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,80.322,78.952,11,1.359,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>3.5 - 33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,129.263,1.2706,17,2.186,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>3.5 - 33t),,Average laden,GHG Conversion Factor 2022,Average laden,,km,78.111,76.741,11,1.359,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>3.5 - 33t),,Average laden,GHG Conversion Factor 2022,Average laden,,miles,125.706,123.503,17,2.186,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,65.677,64.047,13,1.617,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,105.696,103.074,2,2.602,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,108.375,106.745,13,1.617,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,174.412,1.7179,2,2.602,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,87.026,85.396,13,1.617,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,140.054,137.432,2,2.602,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>33t),,Average laden,GHG Conversion Factor 2022,Average laden,,km,93.004,91.374,13,1.617,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Articulated (>33t),,Average laden,GHG Conversion Factor 2022,Average laden,,miles,149.674,147.052,2,2.602,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>17 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,79.097,77.886,2,1.191,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>17 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,127.294,125.345,33,1.916,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>17 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,113.291,1.1208,2,1.191,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>17 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,182.324,180.375,33,1.916,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>17 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,96.194,94.983,2,1.191,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>17 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,154.809,1.5286,33,1.916,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>17 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,km,99.337,98.126,2,1.191,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>17 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,miles,159.868,157.919,33,1.916,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,46.338,4.573,1,598,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,74.574,73.596,16,962,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,54.291,53.683,1,598,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,87.373,86.395,16,962,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,50.315,49.707,1,598,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,80.973,79.995,16,962,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,km,49.758,4.915,1,598,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,miles,80.078,791,16,962,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,55.763,55.022,12,729,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,89.742,88.549,2,1.173,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,71.483,70.742,12,729,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,115.041,113.848,2,1.173,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,63.623,62.882,12,729,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,102.392,101.199,2,1.173,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,km,60.793,60.052,12,729,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,miles,97.838,96.645,2,1.173,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All artics,,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,75.829,7.421,13,1.606,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All artics,,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,122.034,119.429,2,2.585,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All artics,,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,1.248,123.181,13,1.606,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All artics,,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,200.845,1.9824,2,2.585,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All artics,,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,100.314,98.695,13,1.606,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All artics,,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,1.6144,158.835,2,2.585,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All artics,,Average laden,GHG Conversion Factor 2022,Average laden,,km,106.854,105.235,13,1.606,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All artics,,Average laden,GHG Conversion Factor 2022,Average laden,,miles,171.964,169.359,2,2.585,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All HGVs,,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,78.375,77.017,14,1.344,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All HGVs,,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,126.132,123.947,23,2.162,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All HGVs,,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,120.489,119.131,14,1.344,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All HGVs,,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,193.908,191.723,23,2.162,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All HGVs,,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,99.432,98.074,14,1.344,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All HGVs,,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,1.6002,157.835,23,2.162,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All HGVs,,Average laden,GHG Conversion Factor 2022,Average laden,,km,104.208,1.0285,14,1.344,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All HGVs,,Average laden,GHG Conversion Factor 2022,Average laden,,miles,167.706,165.521,23,2.162,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All rigids,,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,82.378,81.362,17,999,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All rigids,,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,132.574,1.3094,27,1.607,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All rigids,,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,113.763,112.747,17,999,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All rigids,,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,183.082,181.448,27,1.607,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All rigids,,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,9.807,97.054,17,999,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All rigids,,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,157.828,156.194,27,1.607,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All rigids,,Average laden,GHG Conversion Factor 2022,Average laden,,km,1.2009,99.074,17,999,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),All rigids,,Average laden,GHG Conversion Factor 2022,Average laden,,miles,161.079,159.445,27,1.607,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>3.5 - 33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,74.595,73.225,11,1.359,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>3.5 - 33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,120.047,117.844,17,2.186,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>3.5 - 33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,111.207,109.837,11,1.359,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>3.5 - 33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,178.969,176.766,17,2.186,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>3.5 - 33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,92.901,91.531,11,1.359,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>3.5 - 33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,149.508,147.305,17,2.186,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,GHG Conversion Factor 2022,Average laden,,km,90.338,88.968,11,1.359,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,GHG Conversion Factor 2022,Average laden,,miles,145.384,143.181,17,2.186,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,75.882,74.252,13,1.617,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,122.119,119.497,2,2.602,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,125.384,123.754,13,1.617,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,201.784,199.162,2,2.602,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,100.633,99.003,13,1.617,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,161.952,1.5933,2,2.602,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>33t),,Average laden,GHG Conversion Factor 2022,Average laden,,km,107.563,105.933,13,1.617,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Articulated (>33t),,Average laden,GHG Conversion Factor 2022,Average laden,,miles,173.105,170.483,2,2.602,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>17 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,9.413,92.919,2,1.191,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>17 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,151.488,149.539,33,1.916,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>17 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,134.924,133.713,2,1.191,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>17 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,217.139,2.1519,33,1.916,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>17 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,114.527,113.316,2,1.191,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>17 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,184.314,182.365,33,1.916,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>17 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,km,118.277,117.066,2,1.191,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>17 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,miles,190.349,1.884,33,1.916,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,55.165,54.557,1,598,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,88.779,87.801,16,962,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,64.653,64.045,1,598,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,104.049,103.071,16,962,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,59.909,59.301,1,598,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,96.414,95.436,16,962,,
Scope 1,Scope 1,Delivery vehicles,HGVs refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,km,59.245,58.637,1,598,,
